,Repository,Notebook Path
0,JaeDukSeo/Daily-Neural-Network-Practice-2,Understanding_Concepts/PCA_Collection/b\ kernel\ pca.ipynb
1,jroloughlin/first_test,projects/boston_housing/boston_housing.ipynb
2,kaphka/imi-master-thesis,notebooks/data/hisdb.ipynb
3,askdjango/networkons-201801,Python\ Day\ 3.ipynb
4,reedan88/QAQC_Sandbox,Metadata_Review/Metadata_Review.ipynb
5,KColburn/uSDC_NDp1,P1.ipynb
6,chipk215/ncaa_basketball,Models/Tournament_Model_LR-Delta_No_Opp_Stats.ipynb
7,data-8/materials-x19,materials/x19/lab/1/lab01/lab01.ipynb
8,bpjsincl/marchmadness,DataAccessExamples.ipynb
9,wigasper/viral-mirna-database,community_enrichment_analysis.ipynb
10,gardiac2002/monkies,Sessions\ Analysis.ipynb
11,qzlvyh/dlab-berkeley-python-fundamentals,Day_1/05_Strings.ipynb
12,FelixandLiu/learning,optimal-road-trip/Computing\ the\ optimal\ road\ trip\ across\ the\ U.S..ipynb
13,RodrigoVillatoro/machine_learning_projects,creating_customer_segments/customer_segments.ipynb
14,rsumner31/pymc3-23,docs/source/notebooks/dp_mix.ipynb
15,r-hopper/W207-Summer-2017-Final,analysis/hopper_miller_zhang_final0814.ipynb
16,jiangzl2016/prob_prog_final_project,final-project/final-notebook.ipynb
17,llcclarke/machine-learning,projects/customer_segments/customer_segments.ipynb
18,scuthbert/DataScience,hmwk/hmwk01/hmwk01.ipynb
19,iharnoor/PhylogeneticNetworks,Phylogenetics.ipynb
20,rsumner31/pymc3,docs/source/notebooks/GP-Latent.ipynb
21,tychovdo/Char-RNN-Understanding,DiagnosticClassifier.ipynb
22,jmartu/TFM,convnet/VGG16_04_bottleneck.ipynb
23,biggstd/pyluminate,notebooks/Al\ Review\ Figures.ipynb
24,Areej32/project-1,Clean\ Data/Models.ipynb
25,andreydung/metriclearning,ViewingAngles.ipynb
26,abhiramkolli/datamaster,LoadToBigQuery.ipynb
27,amcm29/MachineLearning_Marathon,boston_model.ipynb
28,RayleighKim/M06_Python_with_Google_Colab,00_Colab_Basics.ipynb
29,modflowpy/flopy,examples/Notebooks/flopy3_Zaidel_example.ipynb
30,ChuckBowers/info370-group11,ml_analysis.ipynb
31,jbirky/photonCounting,analysis.ipynb
32,ColinDuc/BosonTeam,New_TEST.ipynb
33,QuantEcon/econometrics,Notebook_01_wald/statistical_decision_functions_text.ipynb
34,bjoernrost/ml-live,ml-live.ipynb
35,gustavonalle/bfs,examples.ipynb
36,seangtkelley/personal-health-tracking,college-summary.ipynb
37,maneesh-chouksey/cnn-dog-classifier,dog_app.ipynb
38,fastforwardlabs/cuckoofilter,bench_marking_notebook.ipynb
39,rajeevpatn/Machine-Learning,machine_learning/ensemble_and_randomforest.ipynb
40,NeelChakraborty/ISI_Bank_Profitability,regression.ipynb
41,danielc92/python_nb_data_profiling,notebook_data_profililng.ipynb
42,SultanovAR/augmentation,deeppavlov/models/evolution/Results_analysis.ipynb
43,informatik-mannheim/sysplace_demo_orderstatus,python/TangibleTouch.ipynb
44,srjit/data-visualizations,nyse/src/NYSE-Data\ Analysis.ipynb
45,tepickering/HALcoll,notebooks/TF\ testing.ipynb
46,roei60/Data-Science-Hotels,Clustering.ipynb
47,madalinabuzau/tensorflow-eager-tutorials,02_using_metrics_in_eager_mode.ipynb
48,GoogleCloudPlatform/training-data-analyst,courses/fast-and-lean-data-science/02_Dataset_playground.ipynb
49,iyerhari5/P1-FindingLanes,P1.ipynb
50,usgs-bcb/prov-it,prov-tutorial.ipynb
51,nkern/Astro_9,lectures/02_IntroPython/IntroPython_II.ipynb
52,nanomishka/ods_ml,docker_files/check_docker.ipynb
53,ucbrise/flor-camp2018,src/tutorial.ipynb
54,behrokhGitHub/Nanodegree-ml-projects,projects/boston_housing/boston_housing.ipynb
55,jackdesmarais/DabTransporterPaper,scripts/Figure\ 1\ Library\ Construction.ipynb
56,RafaelGoncalves8/breaking-captcha,deliver/Break\ captcha.ipynb
57,GoSAUN/Hartmann,Codes/Graficas\ \ Hartmann.ipynb
58,josmanual/finde,finde.ipynb
59,jyoshimi/dst_stuff,ode_1d.ipynb
60,jingz8804/CarND-P01-Lane-Lines,P1.ipynb
61,aterrel/HPCPythonSC2012,03_Scaling_Python.ipynb
62,LiChangNY/jarvis,jarvis/test.ipynb
63,jclifton333/glucose,notebooks/model-smoothed-fitted-q.ipynb
64,angadkalra/QuantumComputingProject,StructBalance/DataExperiments.ipynb
65,llv22/tensorflow_srclearnt,tensorflow/contrib/eager/python/examples/nmt_with_attention/nmt_with_attention.ipynb
66,s8rhdobi/fuzzingbook,notebooks/MutationFuzzer.ipynb
67,stakky/tensorflow,tensorflow/tools/docker/notebooks/3_mnist_from_scratch.ipynb
68,jpbarto/ml_lifecycle_lab,03\ Hyperparameter\ tuning.ipynb
69,laventura/AIND_dog_breed_classifier,dog_app.ipynb
70,hiddestokvis/CarND-LaneLines-P1,P1.ipynb
71,learn-co-students/derivative-rules-nyc-ds-060319,index.ipynb
72,milanchestojanovic/TestRepo,pileUpFilter/notebook/pileUpFilterMustRead.ipynb
73,brunoalvarez89/PrestamoBanco,prestamo_banco.ipynb
74,annafeit/optimizing-the-french-keyboard,Define\ scenario\ and\ optimize.ipynb
75,unccv/neural_networks,notebooks/A\ Brief\ History\ of\ Neural\ Networks.ipynb
76,kurtrm/navigation_lights_ml,nav_lights_analysis.ipynb
77,kangwonlee/test-pytest-xdist-py36,Ch05_Stress.in.Beams/ex05.004.numpy_sympy.BendingStress.W200.section_cantilever_m.ipynb
78,naomi-e/ML-hw2,hwa2.ipynb
79,Olamyy/oldone,plugins/ipynb/tests/pelican/content/with-metadata.ipynb
80,ank91/Mixture_Gaussian_CM_of_Planets,List-Misture_G.ipynb
81,cmdavis4/sf-elections,geodatabase_from_source_data.ipynb
82,userkimcs/uit-grad,cv-spring-2019/final/report.ipynb
83,WilliamJCole/IS352_Week_7,IS362\ Week\ 7\ Assignment.ipynb
84,meidata/sentiment_analysis,scrap-user-review.ipynb
85,christopherhadley/kaggle-housing,kaggle-housing.ipynb
86,CyrilWendl/SIE-Master,Zurich/Zurich\ Dataset\ Error\ Detection.ipynb
87,darshak10ramani/jupyternotebook,09_up_and_running_with_tensorflow.ipynb
88,junilyd/junilyd.github.io,downloads/notebooks/2014-08-09-roots.ipynb
89,maruf90/Google-s-TensorFlow,tensorflow/examples/udacity/1_notmnist.ipynb
90,opesci/devito,examples/seismic/tutorials/02_rtm.ipynb
91,sakshi30/tensorflow,tensorflow/examples/udacity/5_word2vec.ipynb
92,krasserm/bayesian-machine-learning,variational_autoencoder.ipynb
93,warsi22/handdetection,samples/core/tutorials/keras/overfit_and_underfit.ipynb
94,harshjmodi/Cognitive-Computing,Final\ Project_Team\ 1/SRGAN.ipynb
95,cparvini/PICsim,PICsim.ipynb
96,AISpace2/AISpace2,notebooks/search/search.ipynb
97,vuillaut/cta-lstchain,notebooks/tutorial_gammalearn.ipynb
98,zweili/ann_miniproject2,miniproject2_ChatBot.ipynb
99,hananiel/gcptraining,blogs/babyweight/babyweight.ipynb
100,jltobias/ArcGIS,labs/create_data.ipynb
101,edrias/seniorprojecteeg-master-fork,PCA/Emmanuil-PCA.ipynb
102,davenquinn/Attitude,docs/example-notebooks/Plotting-Interactive.ipynb
103,van-dang/FEniCS-Colab,FDM_FEM_1D.ipynb
