observation_id,notebook_id,commit_hash,refactor_code
1,0,e0dbcb1ac253a83ab6438485f6cbf604a6fb3da4,rs
2,0,3ffcd4387245168b9edf7ed6c68b9df8c10ccc23,ec
3,0,6418993cc7f2c84508fae9107b27de48c3ee286a,co
4,0,e58d2297fa83fb312648823dc9d9f3418c8b72bd,efun
5,0,69be851664994dca870a2c15e4abe7c271ae7eb7,rs
6,2,5b1d1999be1649a9f46a5ef0a00b690a3b849b05,cfs
7,2,1191dc9a327f2b4a500b97c86056961dfb1cf3c1,em
8,2,a6b63cfdf9d269edfd112e90a19f568d322cb633,mi
9,2,a6b63cfdf9d269edfd112e90a19f568d322cb633,rc
10,2,4a66675fe86fbc64fc822d79aad7ed066c9ffb5c,co
11,3,dd211aef61d770e176bc7221580ae7c5901269ff,co
12,4,8d24454988aa6ba3e60bb761e9e7ae0e35d4fd86,rs
13,4,2c0fede60753bfe6010d152d5f820fddee902f63,cfs
14,4,360e7927243ad8edf0cd4cae3d42513f9de96e66,cfs
15,4,360e7927243ad8edf0cd4cae3d42513f9de96e66,mc
16,4,37ac4fdd3fb83f1d8bfc3a15eb73ba4e8b512f23,cfs
17,4,d9c72654b4620a5655c2c72ca4fd5844e70de1b2,em
18,4,039de025381bf006ee7bdfb4b38479857f4c2696,rc
19,4,ae08a2e3f4a174b1af282bf80ea872ed80450711,em
20,4,ae08a2e3f4a174b1af282bf80ea872ed80450711,t3c
21,4,ae08a2e3f4a174b1af282bf80ea872ed80450711,ec
22,6,0a2f99735b9230ed089e81a6ff5c4409a320b135,sc
23,6,0a2f99735b9230ed089e81a6ff5c4409a320b135,sc
24,6,adc220e249f6a9211d9c1ca2020e7df1c6129175,efun
25,6,adc220e249f6a9211d9c1ca2020e7df1c6129175,efun
26,6,adc220e249f6a9211d9c1ca2020e7df1c6129175,efun
27,6,adc220e249f6a9211d9c1ca2020e7df1c6129175,efun
28,6,e71ba1e71f5d0db5674de14947d9f6051ae927e3,mc
29,6,e71ba1e71f5d0db5674de14947d9f6051ae927e3,rc
30,6,58632ed44503fb360b32e7ede6eb6a77d3968797,cfs
31,6,670ea3c6ab25e9febeec4ee508f6846460f8a6a2,rc
32,6,670ea3c6ab25e9febeec4ee508f6846460f8a6a2,mc
33,6,c018d43845f4f19f5cda9b22d3b9cd025de58714,mec
34,6,c018d43845f4f19f5cda9b22d3b9cd025de58714,co
35,6,c018d43845f4f19f5cda9b22d3b9cd025de58714,rc
36,6,c018d43845f4f19f5cda9b22d3b9cd025de58714,mec
37,6,c018d43845f4f19f5cda9b22d3b9cd025de58714,mc
38,6,13371f92cf125a1c916c2210062895b8e856b947,rc
39,6,13371f92cf125a1c916c2210062895b8e856b947,mnc
40,8,753ca34a8ac0c5e3fc455af6bd16936a2f574b9a,efun
41,8,df6a62f75e4c7164197f026ffd68c783da1bd4ee,cfs
42,8,df6a62f75e4c7164197f026ffd68c783da1bd4ee,efun
43,8,4a27379aafe97713a412102949eb75b697cf8a70,mi
44,9,0b2e6a5ad55bdd683246dad96a3c62f0c980f92a,co
45,9,0b2e6a5ad55bdd683246dad96a3c62f0c980f92a,co
46,9,709b295eb3692fdf5c8bce0e2df1a695d4fce045,ev
47,10,0f9e5514282d6b844c342f574c779bdc0b83ea4a,t2c
48,10,0f9e5514282d6b844c342f574c779bdc0b83ea4a,mc
49,10,cbde41b212c584306b837c0ebfc32a0aca84c410,t2c
50,10,cbde41b212c584306b837c0ebfc32a0aca84c410,t2c
51,10,cbde41b212c584306b837c0ebfc32a0aca84c410,t2c
52,10,cbde41b212c584306b837c0ebfc32a0aca84c410,t2c
53,10,cbde41b212c584306b837c0ebfc32a0aca84c410,rs
54,10,c1bd9aee305185450fb913c52bd6514bb3883404,efun
55,10,f0dfee0994754b0a28074f52b0a1aa7a1e2df5cd,efun
56,11,e755d56119532ca5278b9e03b8fe9041b8b3a4ca,rs
57,14,2e4e842df2a52549a1f30182936da800b6d36111,efun
58,15,8ca59a087ff58614a6cf7731febb15f27a7e2092,efun
59,15,601ef4b238f9be9a4ed3db741719a00622921e25,rc
60,15,d92395daa6c9cb81e7c187198f90273b1a3717c3,ec
61,15,4140ecc24a150d81a5d7ae64d5968b6d1bc07e97,co
62,15,4b3d84ed20b8f065be6d92a2071b3ead8fc9b9dd,rc
63,15,0e4c7f6987c68803d2f8844aa298a5cd620e699b,rc
64,15,f3d49bec539cae16aa386244986c38ae56164341,rc
65,16,42e3331af88977c0c0cdcf0799c45b0afa363da8,rs
66,16,42e3331af88977c0c0cdcf0799c45b0afa363da8,mi
67,16,42e3331af88977c0c0cdcf0799c45b0afa363da8,mec
68,16,679ea9231f1b50eb550191ef6b19c5ce7ce68a98,mi
69,16,679ea9231f1b50eb550191ef6b19c5ce7ce68a98,rc
70,19,212c96d4e1e2d5fe510193230a50d6575e01175f,co
71,19,abff9b691c63e1b2c85d5269fc0ed61222d3b9f4,co
72,19,b8ce795a9967f74bcce9e543866ec07e2e0371d6,co
73,19,ef6d3e5e48dd43cbec7128074e7bb1baee9086eb,rs
74,19,c7f2f9a02d044a053d99c8cb8eb1639d6fe8324b,efun
75,19,7bbedd935a4adccf210a6dfb175d6a402b4371c7,cfs
76,19,7dad5384a16f67dad577ef9ac39d33236ae98899,mec
77,21,f712e887b0f9e5d04e09fd3a8df30179fad78c43,cfs
78,21,99a40b2938f627835b99d049491bd64122333dc5,rs
79,21,46ad78f4a02f36776a717ed058aaaa94e13b7c62,em
80,21,db258965f01a936b7354d850e0ab7af06bf90100,rc
81,21,8990ae321b40438d1d1adceb7687d0748cfd70d6,rc
82,21,8990ae321b40438d1d1adceb7687d0748cfd70d6,mc
83,21,8c835ea41d8466bff7aaffe2fe7d4691711ff765,efun
84,21,8c835ea41d8466bff7aaffe2fe7d4691711ff765,co
85,21,d2d4c9c799a85f472e53e25f870186618696e505,co
86,22,586250cee1fd1d713778947fa0400e2cc14d9ff7,rc
87,22,586250cee1fd1d713778947fa0400e2cc14d9ff7,co
88,22,843ade77284b1a6e6ee2831cee3102cc75632194,co
89,22,e415c5288b620664fefd27b36ad1ba01657e80bc,mc
90,23,23d0482bd8aed9c3d54106c9b32532cd7dfe6d7a,t3c
91,23,23d0482bd8aed9c3d54106c9b32532cd7dfe6d7a,t3c
92,23,23d0482bd8aed9c3d54106c9b32532cd7dfe6d7a,t2c
93,23,23d0482bd8aed9c3d54106c9b32532cd7dfe6d7a,co
94,23,ce33bcdaad158f933d51b602bd7de6b4a5380265,co
95,23,c96f2890b35416473d0ff05679e2d2e9971aa114,co
96,23,c96f2890b35416473d0ff05679e2d2e9971aa114,rc
97,24,54a8c0949c3f6c59b6af895bf173b5cd0de94896,rs
98,25,94122ddd635508ac358153d46cd2859e1ff7f6d1,em
99,27,71f9c2dd7a7d6c1ce7bba6ce94cd4d64741531ba,rs
100,27,71f9c2dd7a7d6c1ce7bba6ce94cd4d64741531ba,t2c
101,27,6e9631fa0d5d0a01b05a3fe894b0ea7df725b8e4,ri
102,27,6e9631fa0d5d0a01b05a3fe894b0ea7df725b8e4,t1c
103,27,6e9631fa0d5d0a01b05a3fe894b0ea7df725b8e4,t1c
104,27,abf3ab250ded6e9d48d02767b97509ba3b8afd67,co
105,27,1a76509737ec57d6da921a9f7efe666422b7d225,co
106,27,1a76509737ec57d6da921a9f7efe666422b7d225,t1c
107,27,1a76509737ec57d6da921a9f7efe666422b7d225,t1c
108,27,14cc159223365923a79d33046c41ddc92dc84c3b,co
109,29,4658cc117e7ad1cf227daf77263e73f4f619c634,mnc
110,31,b7f279934cf3325317f83f67e675afb36581a3d1,sc
111,31,b7f279934cf3325317f83f67e675afb36581a3d1,efun
112,31,fd8fa716caffde07867ad1ba97ebb1aebf5e7dcb,cfs
113,31,a3733880dba1f3482766175ec3e43b936c708712,co
114,31,39f8306b296933aadaf89e6f4f9620504ff37ce9,co
115,31,88fde271a9e2f4da0bf27d120b30efec07b5e7a8,efun
116,31,a7b24da3fb882c72f5ebcb01c30e963abbf30000,co
117,31,a52d5ec877b9c519ef9cc5a34fa752b8cee90687,cfs
118,31,10ea32a95df87b4dd5281bb561d0a736bde9a0d9,efun
119,31,ac1324e8f915180cf301f3b033b2e87baa823f88,co
120,32,01eae6510ca24c92a91516af189a0a4d27e9543e,co
121,32,3c8eee5240381fa1fb4141765e8ac3a1dd376f57,cfs
122,34,b216e98ddd44d35a6dfd845ac35e4aac861e03db,rc
123,34,f3b24b95e39dbd061bf64984ab280b8347019c67,mi
124,34,22c67d6895a20728af0f0f35e1735e43499b4ea9,mi
125,34,e439cfb8164701d4506524c119101587b06e111c,mi
126,34,fe523dc54983dce9ddc4012b2e3e00e6b54f1666,rc
127,34,5407e01ef5ea2fd16d48b3a98cff00ebb1d27611,co
128,34,d78b879261cad78da0f0d6fdef87091c1686ca9f,rc
129,34,7d26cd33cc2d4591bdd0499cf1c26c4441552a2a,rc
130,36,c82c2496d69986c5e78f39666a6ef40499b6703a,ri
131,36,cee132cc1d2e900a7d5be35416f400fd03930fb0,co
132,36,cee132cc1d2e900a7d5be35416f400fd03930fb0,t1c
133,36,a578228d2627a97cc327f94858023c4278c09f46,t2c
134,38,a08d6198f143811e27a4c3c1d242e1a759f25fd8,co
135,38,65036d9304d74a609daade60d3ff5be3ff68a13d,efun
