notebook_id,repo_name,file_path,author_sector,author_job,author_field,genre
0,JaeDukSeo/Daily-Neural-Network-Practice-2,Understanding_Concepts/PCA_Collection/b\ kernel\ pca.ipynb,academia,student,ds,ad
2,kaphka/imi-master-thesis,notebooks/data/hisdb.ipynb,academia,student,ds,ex
3,askdjango/networkons-201801,Python\ Day\ 3.ipynb,industry,educator,cs,cd
4,reedan88/QAQC_Sandbox,Metadata_Review/Metadata_Review.ipynb,initiative/institute,academic,es,ex
6,chipk215/ncaa_basketball,Models/Tournament_Model_LR-Delta_No_Opp_Stats.ipynb,industry,software-engineer,cs,ex
8,bpjsincl/marchmadness,DataAccessExamples.ipynb,academia,software-engineer,cs,pa
9,wigasper/viral-mirna-database,community_enrichment_analysis.ipynb,academia,student,ls,pa
10,gardiac2002/monkies,Sessions\ Analysis.ipynb,industry,software-engineer,cs,ex
11,qzlvyh/dlab-berkeley-python-fundamentals,Day_1/05_Strings.ipynb,academia,academic,cs,cd
12,FelixandLiu/learning,optimal-road-trip/Computing\ the\ optimal\ road\ trip\ across\ the\ U.S..ipynb,industry,data-scientist,cs,ad
14,rsumner31/pymc3-23,docs/source/notebooks/dp_mix.ipynb,ud/open-source,data-scientist,ds,td
15,r-hopper/W207-Summer-2017-Final,analysis/hopper_miller_zhang_final0814.ipynb,academia,student,ds,pa
16,jiangzl2016/prob_prog_final_project,final-project/final-notebook.ipynb,academia,student,ds,pa
19,iharnoor/PhylogeneticNetworks,Phylogenetics.ipynb,academia,student,ds,ex
20,rsumner31/pymc3,docs/source/notebooks/GP-Latent.ipynb,open-source,data-scientist,ds,td
21,tychovdo/Char-RNN-Understanding,DiagnosticClassifier.ipynb,industry,researcher,ds,ex
22,jmartu/TFM,convnet/VGG16_04_bottleneck.ipynb,academia,student,ds,ex
23,biggstd/pyluminate,notebooks/Al\ Review\ Figures.ipynb,academia,academic,ps,ex
24,Areej32/project-1,Clean\ Data/Models.ipynb,academia,student,ds,ex
25,andreydung/metriclearning,ViewingAngles.ipynb,academia,academic,ds,ex
27,amcm29/MachineLearning_Marathon,boston_model.ipynb,industry,data-scientist,ds,ex
29,modflowpy/flopy,examples/Notebooks/flopy3_Zaidel_example.ipynb,initiative/institute,academic,es,td
30,ChuckBowers/info370-group11,ml_analysis.ipynb,academia,student,ds,pa
31,jbirky/photonCounting,analysis.ipynb,academia,student,ps,pa
32,ColinDuc/BosonTeam,New_TEST.ipynb,academia,student,?,pa
33,QuantEcon/econometrics,Notebook_01_wald/statistical_decision_functions_text.ipynb,academia,academic,ss,cd
34,bjoernrost/ml-live,ml-live.ipynb,industry,it,ds,ad
35,gustavonalle/bfs,examples.ipynb,unknown,unknown,?,td
36,seangtkelley/personal-health-tracking,college-summary.ipynb,academia,student,cs,ex
38,fastforwardlabs/cuckoofilter,bench_marking_notebook.ipynb,industry,data-scientist,ds,ex
40,NeelChakraborty/ISI_Bank_Profitability,regression.ipynb,industry,data-scientist,ds,ex
42,SultanovAR/augmentation,deeppavlov/models/evolution/Results_analysis.ipynb,academia,academic,ds,td
43,informatik-mannheim/sysplace_demo_orderstatus,python/TangibleTouch.ipynb,academia,academic,cs,ex
44,srjit/data-visualizations,nyse/src/NYSE-Data\ Analysis.ipynb,academia,academic,ds,ex
45,tepickering/HALcoll,notebooks/TF\ testing.ipynb,academia,academic,es,ex
46,roei60/Data-Science-Hotels,Clustering.ipynb,industry,software-engineer,cs,pa
47,madalinabuzau/tensorflow-eager-tutorials,02_using_metrics_in_eager_mode.ipynb,academia,academic,ds,td
48,GoogleCloudPlatform/training-data-analyst,courses/fast-and-lean-data-science/02_Dataset_playground.ipynb,industry,data-scientist,ds,cd
50,usgs-bcb/prov-it,prov-tutorial.ipynb,initiative/institute,academic,ls,td
52,nanomishka/ods_ml,docker_files/check_docker.ipynb,industry,data-scientist,ds,ex
53,ucbrise/flor-camp2018,src/tutorial.ipynb,academia,academic,ds,cd
55,jackdesmarais/DabTransporterPaper,scripts/Figure\ 1\ Library\ Construction.ipynb,academia,academic,ls,ex
56,RafaelGoncalves8/breaking-captcha,deliver/Break\ captcha.ipynb,academia,student,en,pa
57,GoSAUN/Hartmann,Codes/Graficas\ \ Hartmann.ipynb,academia,student,ps,ex
58,josmanual/finde,finde.ipynb,academia,academic,cs,ex
61,aterrel/HPCPythonSC2012,03_Scaling_Python.ipynb,academia,academic,cs,cd
62,LiChangNY/jarvis,jarvis/test.ipynb,unknown,unknown,?,td
63,jclifton333/glucose,notebooks/model-smoothed-fitted-q.ipynb,academia,academic,ms,ex
64,angadkalra/QuantumComputingProject,StructBalance/DataExperiments.ipynb,academia,student,ds,ex
65,llv22/tensorflow_srclearnt,tensorflow/contrib/eager/python/examples/nmt_with_attention/nmt_with_attention.ipynb,industry,technical-writer?,ds,td
66,s8rhdobi/fuzzingbook,notebooks/MutationFuzzer.ipynb,academia,academic,cs,cd
68,jpbarto/ml_lifecycle_lab,03\ Hyperparameter\ tuning.ipynb,industry,it,cs,cd
