commit_hash,refactor_code,repo,notebook,url_before,url_after
e0dbcb1ac253a83ab6438485f6cbf604a6fb3da4,rs,JaeDukSeo/Daily-Neural-Network-Practice-2,Understanding_Concepts/PCA_Collection/b\ kernel\ pca.ipynb,https://raw.githubusercontent.com/JaeDukSeo/Daily-Neural-Network-Practice-2/e0dbcb1ac253a83ab6438485f6cbf604a6fb3da4~1/Understanding_Concepts/PCA_Collection/b\ kernel\ pca.ipynb,https://raw.githubusercontent.com/JaeDukSeo/Daily-Neural-Network-Practice-2/e0dbcb1ac253a83ab6438485f6cbf604a6fb3da4/Understanding_Concepts/PCA_Collection/b\ kernel\ pca.ipynb
e58d2297fa83fb312648823dc9d9f3418c8b72bd,efun,JaeDukSeo/Daily-Neural-Network-Practice-2,Understanding_Concepts/PCA_Collection/b\ kernel\ pca.ipynb,https://raw.githubusercontent.com/JaeDukSeo/Daily-Neural-Network-Practice-2/e58d2297fa83fb312648823dc9d9f3418c8b72bd~1/Understanding_Concepts/PCA_Collection/b\ kernel\ pca.ipynb,https://raw.githubusercontent.com/JaeDukSeo/Daily-Neural-Network-Practice-2/e58d2297fa83fb312648823dc9d9f3418c8b72bd/Understanding_Concepts/PCA_Collection/b\ kernel\ pca.ipynb
69be851664994dca870a2c15e4abe7c271ae7eb7,rs,JaeDukSeo/Daily-Neural-Network-Practice-2,Understanding_Concepts/PCA_Collection/b\ kernel\ pca.ipynb,https://raw.githubusercontent.com/JaeDukSeo/Daily-Neural-Network-Practice-2/69be851664994dca870a2c15e4abe7c271ae7eb7~1/Understanding_Concepts/PCA_Collection/b\ kernel\ pca.ipynb,https://raw.githubusercontent.com/JaeDukSeo/Daily-Neural-Network-Practice-2/69be851664994dca870a2c15e4abe7c271ae7eb7/Understanding_Concepts/PCA_Collection/b\ kernel\ pca.ipynb
8d24454988aa6ba3e60bb761e9e7ae0e35d4fd86,rs,reedan88/QAQC_Sandbox,Metadata_Review/Metadata_Review.ipynb,https://raw.githubusercontent.com/reedan88/QAQC_Sandbox/8d24454988aa6ba3e60bb761e9e7ae0e35d4fd86~1/Metadata_Review/Metadata_Review.ipynb,https://raw.githubusercontent.com/reedan88/QAQC_Sandbox/8d24454988aa6ba3e60bb761e9e7ae0e35d4fd86/Metadata_Review/Metadata_Review.ipynb
ae08a2e3f4a174b1af282bf80ea872ed80450711,t3c,reedan88/QAQC_Sandbox,Metadata_Review/Metadata_Review.ipynb,https://raw.githubusercontent.com/reedan88/QAQC_Sandbox/ae08a2e3f4a174b1af282bf80ea872ed80450711~1/Metadata_Review/Metadata_Review.ipynb,https://raw.githubusercontent.com/reedan88/QAQC_Sandbox/ae08a2e3f4a174b1af282bf80ea872ed80450711/Metadata_Review/Metadata_Review.ipynb
adc220e249f6a9211d9c1ca2020e7df1c6129175,efun,chipk215/ncaa_basketball,Models/Tournament_Model_LR-Delta_No_Opp_Stats.ipynb,https://raw.githubusercontent.com/chipk215/ncaa_basketball/adc220e249f6a9211d9c1ca2020e7df1c6129175~1/Models/Tournament_Model_LR-Delta_No_Opp_Stats.ipynb,https://raw.githubusercontent.com/chipk215/ncaa_basketball/adc220e249f6a9211d9c1ca2020e7df1c6129175/Models/Tournament_Model_LR-Delta_No_Opp_Stats.ipynb
adc220e249f6a9211d9c1ca2020e7df1c6129175,efun,chipk215/ncaa_basketball,Models/Tournament_Model_LR-Delta_No_Opp_Stats.ipynb,https://raw.githubusercontent.com/chipk215/ncaa_basketball/adc220e249f6a9211d9c1ca2020e7df1c6129175~1/Models/Tournament_Model_LR-Delta_No_Opp_Stats.ipynb,https://raw.githubusercontent.com/chipk215/ncaa_basketball/adc220e249f6a9211d9c1ca2020e7df1c6129175/Models/Tournament_Model_LR-Delta_No_Opp_Stats.ipynb
adc220e249f6a9211d9c1ca2020e7df1c6129175,efun,chipk215/ncaa_basketball,Models/Tournament_Model_LR-Delta_No_Opp_Stats.ipynb,https://raw.githubusercontent.com/chipk215/ncaa_basketball/adc220e249f6a9211d9c1ca2020e7df1c6129175~1/Models/Tournament_Model_LR-Delta_No_Opp_Stats.ipynb,https://raw.githubusercontent.com/chipk215/ncaa_basketball/adc220e249f6a9211d9c1ca2020e7df1c6129175/Models/Tournament_Model_LR-Delta_No_Opp_Stats.ipynb
adc220e249f6a9211d9c1ca2020e7df1c6129175,efun,chipk215/ncaa_basketball,Models/Tournament_Model_LR-Delta_No_Opp_Stats.ipynb,https://raw.githubusercontent.com/chipk215/ncaa_basketball/adc220e249f6a9211d9c1ca2020e7df1c6129175~1/Models/Tournament_Model_LR-Delta_No_Opp_Stats.ipynb,https://raw.githubusercontent.com/chipk215/ncaa_basketball/adc220e249f6a9211d9c1ca2020e7df1c6129175/Models/Tournament_Model_LR-Delta_No_Opp_Stats.ipynb
753ca34a8ac0c5e3fc455af6bd16936a2f574b9a,efun,bpjsincl/marchmadness,DataAccessExamples.ipynb,https://raw.githubusercontent.com/bpjsincl/marchmadness/753ca34a8ac0c5e3fc455af6bd16936a2f574b9a~1/DataAccessExamples.ipynb,https://raw.githubusercontent.com/bpjsincl/marchmadness/753ca34a8ac0c5e3fc455af6bd16936a2f574b9a/DataAccessExamples.ipynb
